station_id,station_name,latitude,longitude,altitude,site_code,provider,organization,status,protocol,transmission_status,wigos_id,wsi_series,wsi_issuer,wsi_issue_number,wsi_local,wmo_block_number,station_height_above_msl,,barometer_height_above_msl
,"Meteorological Institute of Technology, Katsina.",7.3806,12.5707,,KAT-MITK,WAGTECH,NiMet,inactive,FTP,inactive,,,,,,,,,
,"Plateau State University, Bokkos.",8.5724,9.221,1391,JS-PSUB,WAGTECH,NiMet,inactive,FTP,inactive,,,,,,,,,
,Bauchi Rainfall Station.,9.4957,10.1926,609,BAU-DNBA,WAGTECH,NiMet,inactive,FTP,inactive,,,,,,,,,
,"Gombe State University of Science and Technology, Kumo.",11.1214,10.0139,,GME-DNGO,WAGTECH,NiMet,inactive,FTP,inactive,,,,,,,,,
,"Madibo Adama University of Technology, Yola",12.3004,9.2045,,YL-DNYO,WAGTECH,NiMet,inactive,FTP,inactive,,,,,,,,,
,"Jalingo Airport Station, Taraba State.",11.172,8.5358,242,DAJA,WAGTECH,NiMet,inactive,FTP,inactive,,,,,,,,,
,"Adamawa State University, Mubi.",13.1642,10.1644,587,MB-DNMB,WAGTECH,NiMet,inactive,FTP,inactive,,,,,,,,,
,Lokoja Synoptic Station,6.4418,7.4731,,LOK-LSSK,WAGTECH,NiMet,inactive,FTP,inactive,,,,,,,,,
,"Oke-Ata Synoptic Station, Abeokuta",3.1656,7.0811,74,ABK-ASSO,WAGTECH,NiMet,inactive,FTP,inactive,,,,,,,,,
,Iseyin Synoptic Station,3.3424,7.5959,396,ISY-ISSO,WAGTECH,NiMet,inactive,FTP,inactive,,,,,,,,,
,Saki Synoptic Station,3.2415,8.3919,269,SKI-SSSO,WAGTECH,NiMet,inactive,FTP,inactive,,,,,,,,,
,Oshogbo Aerodrum,4.2851,7.4614,,OSO-,WAGTECH,NiMet,inactive,FTP,inactive,,,,,,,,,
,Usi-Ekiti Agromet Station,5.1035,7.5331,,,WAGTECH,NiMet,inactive,FTP,inactive,,,,,,,,,
,Ilorin International Airport,4.2951,8.261,343,ILR-ILAP,WAGTECH,NiMet,inactive,FTP,inactive,,,,,,,,,
,Bida Airstrip Station,6.011,9.0623,,BID-BASN,WAGTECH,NiMet,inactive,FTP,inactive,,,,,,,,,
,"NiMet Synoptic Station, Gombe",11.1149,10.1702,,GOM-NSSGÊ,WAGTECH,NiMet,inactive,FTP,inactive,,,,,,,,,
,"Nimet Synoptic Station, Gusau.",6.401,12.1051,,ÊGUS-NSSG,WAGTECH,NiMet,inactive,FTP,inactive,,,,,,,,,
,"NiMet Synoptic Station, Makurdi, Benue State.",8.3721,7.4236,,MAK-MSSB,WAGTECH,NiMet,inactive,FTP,inactive,,,,,,,,,
,"Lafiya Synoptic Station, COAST Lafia, Nasarawa State.",8.3317,8.3251,182,COA-LAFIA,WAGTECH,NiMet,active,FTP,active,,,,,,,,,
,"Maiduguri Airport Station, Borno State.",13.051,11.5116,,ÊMAI-MASB,WAGTECH,NiMet,inactive,FTP,inactive,,,,,,,,,
,"Abakaliki Synoptic Station, Ebonyi State.",8.0642,6.1925,,ABA-ASSEÊ,WAGTECH,NiMet,inactive,FTP,inactive,,,,,,,,,
,"Ikom Synotpic Station, Cross River State.",8.4427,5.5819,,CAL-IKMS,WAGTECH,NiMet,inactive,FTP,inactive,,,,,,,,,
,"Uyo Synotpic Station, Akwa Ibom State.",7.56,5.0145,,UYY-UYOSY,WAGTECH,NiMet,inactive,FTP,inactive,,,,,,,,,
,Abuja Airport Meteo Station.,7.1605,9.0028,,ÊABJ-AAMF,WAGTECH,NiMet,inactive,FTP,inactive,,,,,,,,,
,Katsina Airport Station.,7.3938,13.0013,,ÊKAT-KASK,WAGTECH,NiMet,inactive,FTP,inactive,,,,,,,,,
,Ikeja Airport Meteo Station. ,6.3504,3.2005,39.4,ÊIKJ-AIRPORT,WAGTECH,NiMet,active,FTP,active,,,,,,,,,
,"Kaduna State University, Kaduna.",7.2707,10.3055,,KAD-KSUK,WAGTECH,NiMet,inactive,FTP,inactive,,,,,,,,,
,"Sokoto State University, Sokoto.",5.1131,12.5636,,ÊSOK-SSUK,WAGTECH,NiMet,inactive,FTP,inactive,,,,,,,,,
,"Sa'adatu Rimi College of Education, Kumbotso, Kano State.",8.3311,11.5518,,ÊKUM-SRCK,WAGTECH,NiMet,inactive,FTP,inactive,,,,,,,,,
,"Federal University Dutse, Jigawa State.",9.2204,11.422,,ÊDUT-FUDJ,WAGTECH,NiMet,inactive,FTP,inactive,,,,,,,,,
,"Nigerian Airforce Base, port Harcourt, Rivers State.",7.0107,4.5051,,PHC-DNPO,WAGTECH,NiMet,inactive,FTP,inactive,,,,,,,,,
