station_id,station_name,latitude,longitude,altitude,site_code,provider,organization,status,protocol,transmission_status
e3e9dc23-9ac4-420d-9306-59536b4e876a,"Meteorological Institute of Technology, Katsina.",7.3806,12.5707,,KAT-MITK,WAGTECH,NiMet,inactive,FTP,inactive
c03bc8ec-cd46-440c-b06f-adb237570fd0,"Plateau State University, Bokkos.",8.5724,9.221,1391,JS-PSUB,WAGTECH,NiMet,inactive,FTP,inactive
842f9cfd-3a85-46d4-93ee-a111de411e21,Bauchi Rainfall Station.,9.4957,10.1926,609,BAU-DNBA,WAGTECH,NiMet,inactive,FTP,inactive
ae72b94b-a2e0-498d-af90-3f707c70d1c6,"Gombe State University of Science and Technology, Kumo.",11.1214,10.0139,,GME-DNGO,WAGTECH,NiMet,inactive,FTP,inactive
51c0772d-2983-40c8-bc4c-a87ae7a227e5,"Madibo Adama University of Technology, Yola",12.3004,9.2045,,YL-DNYO,WAGTECH,NiMet,inactive,FTP,inactive
be404b0b-e88b-4b2c-a8bb-27342b511d38,"Jalingo Airport Station, Taraba State.",11.172,8.5358,242,DAJA,WAGTECH,NiMet,inactive,FTP,inactive
491db3d0-6441-4255-89ae-0feddf91dea4,"Adamawa State University, Mubi.",13.1642,10.1644,587,MB-DNMB,WAGTECH,NiMet,inactive,FTP,inactive
2a4892d2-abf3-4b42-b30b-5954dbacb786,Lokoja Synoptic Station,6.4418,7.4731,,LOK-LSSK,WAGTECH,NiMet,inactive,FTP,inactive
73cc0f43-258a-44b1-a876-e6e10bfa1252,"Oke-Ata Synoptic Station, Abeokuta",3.1656,7.0811,74,ABK-ASSO,WAGTECH,NiMet,inactive,FTP,inactive
81a7ead7-14dd-4526-80a7-8ffe8db6bbfa,Iseyin Synoptic Station,3.3424,7.5959,396,ISY-ISSO,WAGTECH,NiMet,inactive,FTP,inactive
b0856a34-e60b-4c45-bae2-6f9e1f9cf8d1,Saki Synoptic Station,3.2415,8.3919,269,SKI-SSSO,WAGTECH,NiMet,inactive,FTP,inactive
5c9b5ddd-fca1-491b-99b4-bba609db0f64,Oshogbo Aerodrum,4.2851,7.4614,,OSO-,WAGTECH,NiMet,inactive,FTP,inactive
3210d436-c104-4027-bc2e-687f67eadc37,Usi-Ekiti Agromet Station,5.1035,7.5331,,,WAGTECH,NiMet,inactive,FTP,inactive
6f1b54f2-f534-4875-8137-21e1ebe22fd7,Ilorin International Airport,4.2951,8.261,343,ILR-ILAP,WAGTECH,NiMet,inactive,FTP,inactive
04a7ae6e-1fab-4e3c-8d48-9ea504de8d1b,Bida Airstrip Station,6.011,9.0623,,BID-BASN,WAGTECH,NiMet,inactive,FTP,inactive
de881f8d-e257-465b-ba34-2f368fb3dec3,"NiMet Synoptic Station, Gombe",11.1149,10.1702,,GOM-NSSG,WAGTECH,NiMet,inactive,FTP,inactive
0828f232-a86b-43dc-8fd0-31b7f8dcc594,"Nimet Synoptic Station, Gusau.",6.401,12.1051,,GUS-NSSG,WAGTECH,NiMet,inactive,FTP,inactive
b2d03525-0d1e-462d-b80a-f23df05f8f05,"NiMet Synoptic Station, Makurdi, Benue State.",8.3721,7.4236,,MAK-MSSB,WAGTECH,NiMet,inactive,FTP,inactive
05d74d95-643e-4e19-8574-7a4c37329ac1,"Lafiya Synoptic Station, COAST Lafia, Nasarawa State.",8.3317,8.3251,182,COA-LAFIA,WAGTECH,NiMet,active,FTP,active
de264a38-084c-4232-8c3a-2cbcf76f0079,"Maiduguri Airport Station, Borno State.",13.051,11.5116,,MAI-MASB,WAGTECH,NiMet,inactive,FTP,inactive
061afdfb-d360-42af-ae86-17de2c138314,"Abakaliki Synoptic Station, Ebonyi State.",8.0642,6.1925,,ABA-ASSE,WAGTECH,NiMet,inactive,FTP,inactive
d7c95367-197f-49cd-8445-22e5021d719d,"Ikom Synotpic Station, Cross River State.",8.4427,5.5819,,CAL-IKMS,WAGTECH,NiMet,inactive,FTP,inactive
55508d5c-c9c6-4621-8c2c-9d9dc38871f0,"Uyo Synotpic Station, Akwa Ibom State.",7.56,5.0145,,UYY-UYOSY,WAGTECH,NiMet,inactive,FTP,inactive
d6cb0da5-b991-4be2-9fe6-fc72675b0a3d,Abuja Airport Meteo Station.,7.1605,9.0028,,ABJ-AAMF,WAGTECH,NiMet,inactive,FTP,inactive
